lakename,groupingENSO,groupingNAO,groupingNPO,groupingPC15,lat,lon,lake,GLWDid,AREA_SKM,PERIM_KM,LONG_DEG,LAT_DEG,ELEV_M,CATCH_TSKM
Carey,NA,NA,NA,NA,62.2,-102.82,lake1121,764,247.9,243.8,-103.03,62.21,288,28.9
Caspian,NA,NA,NA,NA,40,51,lake0270,1,378119.3,6820.3,50.36,41.85,-22,3174
Cedar,NA,WestCentralNorthAmerica,NA,NA,53.22,-100.19,lake0252,57,2817.3,873.9,-100.14,53.33,256,391.8
Chad,SubSaharanAfrica,NA,EastAfrica,NA,13,14.17,lake0068,14,19346.6,11478.9,14.19,13.45,279,149
Chany,NA,NA,NA,NA,54.83,77.5,lake0232,92,1918,1179.1,77.39,54.83,93,26.5
Chardarinskoye,NA,NA,NA,NA,41.13,68.13,lake0460,296,600.4,181.6,68.17,41.15,236,147
Chiquita,NA,NA,NA,NA,-30.75,-62.58,lake0344,84,2011.9,294.2,-62.61,-30.74,66,1.6
Chiuta,NA,NA,EastAfrica,NA,-14.8,35.87,lake0081,1943,92.8,61.4,35.85,-14.78,634,3.3
Chukchagirskoye,NA,NA,NA,NA,52,136.58,lake0587,483,378.8,159.4,136.58,52,66,0.4
Claire,NA,NA,NA,NA,58.35,-112.02,lake0441,125,1325.6,461.3,-112.08,58.59,212,21.1
Dale_Hollow,NA,NA,NA,NA,36.67,-85.33,lake1285,1180,158.1,291.2,-85.29,36.58,230,2.3
Daye,NA,NA,NA,NA,30.12,115.01,lake0129,1631,111.4,128.2,115.1,30.11,25,1.1
Diefenbaker,SouthCentralCanada,NA,NA,NA,51,-107,lake1168,402,458.5,437.7,-106.9,50.96,534,8.7
Dogen,NA,NA,NA,NA,31.62,91.12,lake0166,1382,133.6,70.1,91.16,31.7,4560,1.1
Dore,NA,NA,NA,NA,54.71,-107.33,lake0484,281,634.4,206.6,-107.28,54.76,459,2.9
Dorgon,NA,NA,NA,NA,47.7,93.42,lake0372,549,336.7,113.2,93.42,47.73,1160,2.7
Dubawnt,NA,NA,NA,NA,62.92,-101.37,lake0244,49,3628.5,1544.6,-101.44,63.13,235,69.6
Elton,NA,NA,NA,NA,49.12,46.65,lake0259,1083,173.2,49.4,46.67,49.15,20,1.8
Enriquillo,NA,NA,NA,NA,18.52,-71.74,lake0369,723,259.5,115.8,-71.58,18.49,8,0.4
Ercek,NA,NA,NA,NA,38.67,43.56,lake0111,1840,98.7,44.4,43.59,38.67,1850,1.3
Erie,NorthEastUnitedStates,NorthEastUnitedStates,SouthEastNorthAmerica,NA,42.17,-81,lake0333,12,25691,1414.6,-81.16,42.25,174,689.1
Faguibine,NA,NA,NA,NA,16.71,-4.06,lake0418,355,512.1,212.7,-4.09,16.73,322,8.2
Gandhi,NA,NA,NA,NA,24.33,75.34,lake0519,347,521.7,314.5,75.6,24.43,401,20.8
Gaoyou,NA,NA,NA,NA,32.83,119.33,lake0449,287,622.5,229.1,119.31,32.87,1,169
Gilgel_Gibe_3,NA,NA,NorthernEastAfrica,NA,7.4,37.38,lake2323,NA,210,NA,37.38,7.4,893,34.15
Gods,NA,NA,NA,NA,54.77,-94.02,lake0470,172,1043.7,688.5,-94.21,54.62,181,13.2
Gorkovskoye,NA,NA,NA,NA,57.36,43.11,lake1341,193,936.8,569.3,43.13,57.11,87,228.6
Gouin,NA,NA,NA,NA,48.53,-74.59,lake0438,118,1399.1,2389.2,-74.76,48.54,404,10.5
Grajau,NA,NA,NA,NA,-6.7,-43.66,lake0422,510,356.7,532.5,-44.21,-6.94,142,85.4
Great_Bear,NA,NA,NA,NA,65.9,-120.2,lake0421,9,30530.1,3681.7,-121.3,65.91,157,104.2
Great_Slave,CentralCanada,NA,NA,NA,61.51,-114.91,lake0420,11,27816.3,6468.9,-114.37,62.09,158,976.2
Guri,EquatorialAmericas,NA,NA,NA,7.55,-62.92,lake0432,154,1127,453,-62.83,7.2,329,84.2
Hammar_4,NA,NA,NA,NA,31.53,47.73,lake2330,408,449.5,295.4,47.04,30.76,4,776.6
Har_2,NA,NA,NA,NA,48,93.17,lake0411,294,601.3,159.9,93.21,48.05,1160,45.5
Hardish,NA,NA,NA,NA,64.72,-117.57,lake1025,587,319.4,476.8,-117.74,64.56,220,12.2
Hongze,NA,NA,NA,NA,33.25,118.67,lake0343,109,1524.9,536.2,118.53,33.34,3,156.4
Hovs_Gol,CentralAsia,EastAsia,NA,NA,51,100.42,lake0413,59,2741.4,421.7,100.48,51.02,1640,0.6
Hulun,NA,NA,NA,NA,49,117.5,lake0385,75,2166.5,408.6,117.38,48.97,539,148.4
Huron,NA,NA,NA,NA,44.67,-82.67,lake0336,5,59756.5,3943.9,-82.21,44.78,176,486.8
Iepe,NA,NA,NA,NA,-22.92,-50.61,lake0794,199,903.7,955.6,-50.98,-22.83,364,75.3
Inder,NA,NA,NA,NA,48.49,51.87,lake0362,1722,105.8,38.3,51.91,48.47,-4,0.2
Issyk-kul,CentralAsia,NA,NA,NA,42.42,77.33,lake0338,25,6258.9,563.3,77.25,42.46,1619,20.8
